item,Phon,LDTrt,LDTpe,NMGrt,PDMrt,FLPrt,freqfilms,freqbooks,Nlett,Nphon,OLD20,PLD20,AoA,Freqsubj,IMA
acte,akt,657.6,0.09,530.5,1167.6,629.6,39.19,35.88,4,3,1.5,1,9.4,4.4,3.2
âge,aZ,581.0,0.03,494.0,1092.4,624.5,150.45,205.27,3,2,1.7,1,4.8,5.4,3.3
aide,Ed,640.9,0.06,505.6,1269.2,571.5,291.1,70.68,4,2,1,1,5.8,5.1,3.3
aigle,Egl,639.9,0.09,500.2,1157.0,643.5,5.5,7.91,5,3,1.55,1.6,6.5,3.2,6.7
aigre,EgR,815.2,0.30,533.7,1173.0,785.9,0.63,9.6,5,3,1.5,1.55,10.6,3.0,3.3
ail,aj,641.5,0.09,531.5,1211.5,686.6,9.14,7.97,3,2,1.05,1,7.9,4.2,6.6
aile,El,711.6,0.42,572.4,1338.7,609.6,15,20.47,4,2,1,1,5.5,3.8,6.3
air,ER,600.6,0.09,517.5,1132.0,614.7,473.5,661.01,3,2,1.3,1,6.0,4.9,3.6
aise,Ez,784.0,0.21,523.2,1267.8,702.7,33.68,52.16,4,2,1,1,10.8,3.6,1.7
algue,alg,707.6,0.21,530.9,1244.1,693.6,0.29,1.62,5,3,1.8,1.1,7.9,2.9,6.5
ambre,@bR,690.0,0.21,533.6,1248.8,669.5,0.93,4.39,5,3,1.55,1.25,11.6,3.1,4.2
âme,am,578.3,0.06,502.4,1117.8,571.9,122.22,129.53,3,2,1.7,1,10.0,3.5,2.4
ample,@pl,737.5,0.09,521.7,1209.3,665.7,0.82,8.04,5,3,1.75,1.45,10.0,3.7,3.8
an,@,631.4,0.06,514.3,1319.8,709.2,148.41,76.76,2,1,1,1,4.8,4.9,2.3
ancre,@kR,720.4,0.09,523.2,1136.3,741.7,4.8,4.8,5,3,1.45,1.2,8.9,3.2,5.5
âne,an,620.1,0.09,508.3,1106.2,612.7,12.33,14.32,3,2,1.75,1,5.0,3.5,6.8
ange,@Z,628.3,0.03,493.4,1184.9,656.8,47.9,21.62,4,2,1.5,1.2,6.5,4.1,6.5
angle,@gl,600.0,0.06,509.9,1157.5,621.6,11.56,46.89,5,3,1.65,1.4,8.4,3.9,5.3
août,ut,623.9,0.03,587.9,1171.3,652.0,12.65,49.66,4,2,1.85,1,6.0,3.5,4.1
apte,apt,795.8,0.35,526.9,1312.1,670.5,1.77,2.77,4,3,1.65,1.1,10.5,3.7,2.3
arbre,aRbR,654.3,0.00,492.4,1100.2,577.1,49.29,67.16,5,4,1.75,1.75,3.9,4.7,6.8
arc,aRk,629.2,0.09,513.0,1138.2,708.5,4.52,14.05,3,3,1.5,1,7.0,3.4,6.2
arche,aRS,763.0,0.26,509.7,1241.9,713.3,2.83,5.68,5,3,1.6,1.15,9.3,3.0,5.2
arme,aRm,673.9,0.09,506.2,1180.6,625.8,117.81,38.24,4,3,1.3,1,7.1,4.0,6.3
art,aR,579.1,0.06,499.5,1141.1,698.0,65.93,81.49,3,2,1.45,1,8.4,4.2,4.3
as,a,657.2,0.21,531.2,1253.4,746.2,3437.24,509.6,2,1,1,1,7.7,3.4,5.1
asthme,asm,769.3,0.17,564.5,1452.9,679.7,3.13,3.11,6,3,2.3,1.4,10.2,3.1,4.0
astre,astR,729.2,0.09,512.1,1165.0,713.9,1.89,4.32,5,4,1.65,1.55,10.3,2.8,4.2
au,o,673.2,0.09,521.7,1227.6,712.3,3737.75,5322.5,2,1,1,1,5.6,6.9,1.1
aube,ob,680.0,0.09,530.0,1260.5,708.8,30.14,55.81,4,2,1.6,1.2,9.3,3.3,4.3
autre,otR,602.9,0.06,496.5,1102.2,598.6,1148.11,1369.13,5,3,1.7,1,5.9,6.4,1.9
aux,o,674.8,0.00,524.5,1163.6,766.4,835.65,1907.57,3,1,1.5,1,6.3,6.6,1.1
axe,aks,630.7,0.09,490.3,1086.5,670.9,3.04,9.6,3,3,1.1,1,10.0,4.0,3.6
bac,bak,628.7,0.00,466.8,1043.5,557.4,9.03,13.99,3,3,1,1,10.1,4.1,5.7
bâche,baS,685.5,0.21,473.9,1202.0,661.3,2.31,10.14,5,3,1.3,1,8.7,3.2,5.9
badge,badZ,725.0,0.13,528.7,1223.0,680.5,6.03,0.74,5,4,1.85,1.55,9.3,4.1,5.8
bague,bag,666.0,0.03,471.8,1156.9,631.1,26.21,16.15,5,3,1.35,1,5.7,3.9,6.9
baie,bE,639.8,0.03,480.3,1151.5,597.5,6.17,15.47,4,2,1,1,9.7,3.5,4.9
baigne,bEN,716.3,0.17,485.4,1198.7,649.6,7.87,6.76,6,3,1.45,1,6.4,3.8,3.9
bail,baj,750.3,0.30,509.3,1279.6,656.4,11.49,2.57,4,3,1.4,1,13.2,3.9,3.0
bain,b5,623.7,0.03,455.1,1115.9,557.1,50.52,43.11,4,2,1.1,1,4.2,4.7,6.6
baisse,bEs,724.7,0.03,496.2,1249.7,692.0,31.65,18.18,6,3,1.3,1,6.7,4.7,2.7
bal,bal,582.2,0.03,438.2,1068.6,626.3,28.57,18.31,3,3,1.05,1,7.6,3.7,6.0
balle,bal,663.4,0.10,454.5,1217.3,605.7,77.32,44.73,5,3,1.1,1,4.0,4.6,6.7
banc,b@,673.4,0.03,453.1,1145.1,639.3,8.96,48.31,4,2,1.65,1,5.3,4.6,6.5
bande,b@d,684.2,0.00,467.7,1205.9,644.0,73.83,55.47,5,3,1.4,1,7.9,4.8,4.7
banque,b@k,627.1,0.00,479.6,1164.0,592.2,70.79,25.54,6,3,1.5,1.1,8.3,4.7,6.1
bar,baR,543.6,0.03,461.1,1044.7,610.5,60.17,52.57,3,3,1.2,1,7.6,4.8,6.4
barbe,baRb,680.4,0.17,535.6,1177.9,618.8,23.72,48.17,5,4,1.35,1,5.5,4.0,6.8
barque,baRk,767.7,0.06,504.1,1269.7,734.3,9.52,29.93,6,4,1.55,1,7.1,3.4,6.4
barre,baR,656.9,0.09,449.8,1171.1,621.9,23.58,28.99,5,3,1.2,1,6.6,4.4,5.8
bas,ba,574.3,0.03,473.0,1040.4,718.8,171.82,250,3,2,1,1,5.0,5.5,3.2
base,baz,622.6,0.03,468.3,1120.9,669.6,53.66,32.23,4,3,1,1,8.8,4.2,3.2
basque,bask,816.9,0.25,504.8,1212.7,681.4,8.11,3.71,6,4,1.55,1.35,12.1,3.3,2.8
basse,bas,669.5,0.03,479.6,1183.6,679.6,11.9,74.66,5,3,1,1,6.5,4.9,3.3
battre,batR,686.9,0.03,470.1,1335.1,628.7,75.92,57.36,6,4,1.7,1,6.3,4.3,3.4
baume,bom,763.9,0.10,489.1,1272.6,819.0,1.79,2.91,5,3,1.75,1.25,11.1,4.0,4.4
beau,bo,593.1,0.03,444.1,1136.0,649.9,310.15,297.17,4,2,1.55,1,4.5,5.2,4.2
bec,bEk,609.5,0.13,440.7,1054.2,668.3,6.74,23.31,3,3,1.3,1,5.4,3.5,6.6
bêche,bES,824.1,0.46,493.2,1247.0,752.4,0.45,3.78,5,3,1.55,1,9.3,2.7,4.8
beige,bEZ,705.2,0.21,529.4,1134.3,711.5,1.26,7.97,5,3,1.75,1.25,6.5,3.7,5.1
bel,bEl,720.2,0.52,450.5,1185.2,725.7,31.35,37.09,3,3,1.5,1,7.7,4.0,2.3
berge,bERZ,754.8,0.35,494.1,1150.8,688.7,1.79,8.72,5,4,1.4,1.2,10.7,3.7,4.3
bête,bEt,606.8,0.06,441.4,1091.6,586.8,95.18,96.49,4,3,1.55,1,4.9,4.5,5.1
beurre,b9R,655.0,0.03,476.5,1238.0,665.9,16.39,29.46,6,3,1.6,1,4.8,4.1,6.7
biais,bjE,769.4,0.17,483.3,1246.4,735.3,1.64,17.1,5,3,1.45,1,12.4,4.8,1.7
bible,bibl,657.9,0.09,495.7,1308.0,638.5,17.03,17.16,5,4,1.7,1.65,8.4,4.3,5.9
biche,biS,705.5,0.17,459.7,1223.3,642.7,5.49,8.04,5,3,1.35,1,5.9,3.8,6.5
bien,bj5,541.7,0.00,439.1,1097.2,692.7,4337.68,2628.58,4,3,1.6,1.45,4.6,4.7,2.3
bière,bjER,629.6,0.03,462.6,1160.3,682.9,68.55,35.34,5,4,1.75,1.15,9.3,4.3,6.8
bile,bil,757.2,0.46,473.9,1345.6,652.6,4.92,5.74,4,3,1,1,11.7,4.4,3.7
bille,bij,664.9,0.09,497.8,1438.4,713.5,2.5,8.58,5,3,1,1,5.7,3.9,6.8
bip,bip,761.9,0.38,490.3,1140.8,637.0,6.94,1.28,3,3,1.25,1,8.6,3.7,4.3
bis,bis,714.2,0.26,463.2,1076.8,711.2,1.48,3.38,3,3,1,1,9.2,3.5,2.2
bise,biz,768.1,0.30,453.5,1288.4,689.2,5.02,10.61,4,3,1,1,6.4,4.6,4.7
blague,blag,666.1,0.03,468.1,1218.9,571.9,63.72,17.7,6,4,1.65,1.35,6.5,4.3,4.9
blâme,blam,641.3,0.21,480.1,1153.0,628.3,4.76,5.27,5,4,1.65,1.2,11.8,3.9,2.5
blanc,bl@,592.6,0.06,456.0,1145.0,722.0,81.49,211.76,5,3,1.85,1,5.4,5.3,5.9
blanche,bl@S,679.1,0.03,491.0,1200.8,575.0,42.3,154.46,7,4,1.6,1.4,4.6,4.3,6.1
blé,ble,617.6,0.03,452.4,1153.7,646.0,19.07,23.24,3,3,1.65,1,6.5,4.4,6.4
blême,blEm,726.6,0.40,462.8,1231.6,657.2,1.16,11.62,5,4,1.85,1.1,12.4,4.2,2.1
bleu,bl2,581.1,0.03,423.0,1096.6,557.2,51.16,149.26,4,3,1.65,1.25,3.8,4.3,6.2
bloc,blOk,597.5,0.00,482.8,1095.5,644.5,14.25,28.31,4,4,1.55,1.5,7.5,3.6,4.7
blond,bl§,613.3,0.00,460.8,1124.2,633.6,12.34,29.66,5,3,1.8,1.25,5.6,5.1,6.4
blues,bluz,732.5,0.46,504.1,1199.8,755.0,7.81,5.68,5,4,1.7,1.65,11.5,3.7,3.7
boeuf,b9f,583.8,0.00,476.3,1090.6,566.3,9.02,16.08,5,3,1.85,1.3,6.5,4.6,6.7
boire,bwaR,635.4,0.00,453.8,1109.4,589.1,144.82,102.3,5,4,1.4,1,4.0,4.9,5.2
bois,bwa,585.9,0.00,458.7,1064.4,600.8,153.19,308.99,4,3,1,1,5.5,4.8,6.5
boîte,bwat,578.5,0.00,454.1,1118.4,606.6,74.58,94.32,5,4,1.75,1.25,4.7,5.5,6.5
bol,bOl,616.2,0.10,455.2,1153.5,634.4,16.93,20.07,3,3,1,1,4.3,4.7,6.6
bombe,b§b,625.5,0.00,470.4,1205.5,636.2,49.07,15.74,5,3,1.6,1.3,7.7,4.4,5.9
bon,b§,578.9,0.03,461.5,1043.0,549.2,1514.57,594.99,3,2,1,1,4.3,5.4,3.0
bond,b§,700.9,0.25,477.6,1189.6,649.8,3.44,20.07,4,2,1.25,1,7.3,3.9,4.4
bonne,bOn,629.9,0.09,457.5,1146.8,694.3,632.11,338.52,5,3,1.25,1,6.2,5.8,3.2
borgne,bORN,811.9,0.17,533.3,1342.6,742.3,2.66,5.34,6,4,1.75,1.7,10.3,3.4,4.8
borne,bORn,706.9,0.06,511.2,1162.0,663.7,2.11,9.26,5,4,1.15,1.3,8.6,4.3,5.3
bosse,bOs,697.0,0.00,481.4,1144.2,687.1,28,9.46,5,3,1.1,1,6.2,3.8,5.5
