ID,group,item,spelling.learned,reduction.type,pronunciation,button.pressedd,correct,RT
CN01,Canonical_None,bliddus,none,flap,"New words, trained pronunciation",1,1,863
CN01,Canonical_None,bredenno,canonical,nasal,"New words, trained pronunciation",4,0,2333
CN01,Canonical_None,bunnow,none,nasal,"New words, trained pronunciation",1,1,1197
CN01,Canonical_None,byddo,canonical,flap,"New words, trained pronunciation",1,1,4614
CN01,Canonical_None,cluddee,none,flap,"New words, trained pronunciation",1,1,823
CN01,Canonical_None,credenner,none,nasal,"New words, trained pronunciation",1,1,1133
CN01,Canonical_None,cynnergus,none,nasal,"New words, trained pronunciation",1,1,897
CN01,Canonical_None,fluddow,none,flap,"New words, trained pronunciation",1,1,846
CN01,Canonical_None,gleanny,canonical,nasal,"New words, trained pronunciation",4,0,1937
CN01,Canonical_None,glunner,none,nasal,"New words, trained pronunciation",1,1,819
CN01,Canonical_None,lucrunny,none,nasal,"New words, trained pronunciation",1,1,1514
CN01,Canonical_None,piddery,canonical,flap,"New words, trained pronunciation",4,0,912
CN01,Canonical_None,pribeddy,none,flap,"New words, trained pronunciation",1,1,826
CN01,Canonical_None,prounner,none,nasal,"New words, trained pronunciation",1,1,989
CN01,Canonical_None,ruddow,canonical,flap,"New words, trained pronunciation",1,1,1136
CN01,Canonical_None,sceaneddy,canonical,flap,"New words, trained pronunciation",4,0,1407
CN01,Canonical_None,senno,canonical,nasal,"New words, trained pronunciation",4,0,3760
CN01,Canonical_None,sleddow,canonical,flap,"New words, trained pronunciation",4,0,2707
CN01,Canonical_None,slyddenee,none,flap,"New words, trained pronunciation",1,1,942
CN01,Canonical_None,smounnus,canonical,nasal,"New words, trained pronunciation",1,1,3070
CN01,Canonical_None,sounnerby,canonical,nasal,"New words, trained pronunciation",1,1,3141
CN01,Canonical_None,spearoddus,none,flap,"New words, trained pronunciation",1,1,1146
CN01,Canonical_None,spennogy,none,nasal,"New words, trained pronunciation",1,1,1010
CN01,Canonical_None,suspinnus,canonical,nasal,"New words, trained pronunciation",1,1,2058
CN01,Canonical_None,trecoddus,canonical,flap,"New words, trained pronunciation",4,0,1665
CN01,Canonical_None,treddemus,canonical,flap,"New words, trained pronunciation",1,1,1173
CN01,Canonical_None,trenner,canonical,nasal,"New words, trained pronunciation",1,1,2880
CN01,Canonical_None,troddy,canonical,flap,"New words, trained pronunciation",1,1,3002
CN01,Canonical_None,trounny,none,nasal,"New words, trained pronunciation",1,1,852
CN01,Canonical_None,veddetus,none,flap,"New words, trained pronunciation",1,1,1039
CN01,Canonical_None,vinnimal,canonical,nasal,"New words, trained pronunciation",1,1,938
CN01,Canonical_None,vouddy,none,flap,"New words, trained pronunciation",1,1,717
CN01,Canonical_None,blittus,none,flap,"New words, canonical pronunciation",1,0,2720
CN01,Canonical_None,bredento,canonical,nasal,"New words, canonical pronunciation",4,1,914
CN01,Canonical_None,buntow,none,nasal,"New words, canonical pronunciation",1,0,4040
CN01,Canonical_None,bytto,canonical,flap,"New words, canonical pronunciation",-1,,-1
CN01,Canonical_None,cluttee,none,flap,"New words, canonical pronunciation",1,0,1694
